;Среднее время ожидания, [с];Количество полос;Средняя интенсивность ТС, [тс/ч];Средняя интенсивность пешеходов, [пеш/15 мин.];Длина пешеходного перехода (с учетом островка), [м];Полная длительность цикла, [с];Длительность красного сигнала для пешеходов, [с];Среднее число нарушителей, [чел.]
Среднее время ожидания, [с];1,00;;;;;;;
Количество полос;0,58;1,00;;;;;;
Средняя интенсивность ТС, [тс/ч];0,75;0,87;1,00;;;;;
Средняя интенсивность пешеходов, [пеш/15 мин.];0,46;0,61;0,78;1,00;;;;
Длина пешеходного перехода (с учетом островка), [м];0,46;0,95;0,74;0,53;1,00;;;
Полная длительность цикла, [с];0,51;0,79;0,78;0,28;0,71;1,00;;
Длительность красного сигнала для пешеходов, [с];0,41;0,46;0,64;0,21;0,25;0,79;1,00;
Среднее число нарушителей, [чел.];0,08;0,83;0,59;0,53;0,88;0,63;0,24;1,00
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
