Отметка времени;Как часто Вы переходите на красный свет?;Если Вы переходите на красный, то с чем это связано чаще всего?;Переходите ли Вы на красный, если видите, что другие пешеходы перебегают?;Перешли бы Вы дорогу на красный свет, если бы на дороге не было машин?;Перешли бы Вы дорогу на красный свет, если бы на дороге машины стояли в пробке?;Перейдите ли Вы дорогу, если Вам горит красный, а машины продолжают движение с небольшой скоростью?;Переходите ли Вы на красный сигнал, если у пешеходного перехода плохое освещение?;Переходите ли Вы на красный сигнал на пешеходных переходах, оборудованных кнопкой вызова зеленого?;Как Вы считаете, пойдут ли другие люди на красный при отсутствии машин, если запрещающий сигнал горит слишком долго?;Чувствуете ли Вы себя безопасно, переходя на красный сигнал?;Какое время Вы считаете приемлемым для ожидания зеленого, чтобы не было потребности перехода на красный?;При наличии ожидания, указанного Вами в вопросе выше, будете ли Вы переходить на красный?
4.21.2024 19:32:03;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 19:36:13;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 19:39:43;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 19:41:36;Несколько раз в неделю;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;Менее 20 секунд;Думаю, что не буду
4.21.2024 19:43:25;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 19:46:46;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 19:47:19;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 19:56:04;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 19:57:04;Несколько раз в год;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:01:03;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 20:11:15;Никогда;Не перехожу никогда;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 20:13:59;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:15:03;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 20:17:12;Несколько раз в месяц;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;20 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:21:12;Несколько раз в год;Красный свет горит слишком долго;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:26:08;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 20:28:41;Несколько раз в год;Нет машин;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 20:34:11;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
