базовый проектный;Время в пути ТС до, с;Время в пути ТС после, с;Изменение
Гражданский пр. (ул. Гидротехников);20,39;26,10;5,71
Гражданский пр. (пр. Непокоренных);20,00;27,23;7,23
Ул. Фаворского (Старо-Муринская ул.);77,24;45,46;-31,78
Ул. Фаворского (Гжатская ул.);46,41;36,72;-9,69
;;;
;;;
базовый проектный;Длина Затора до, м;Длина Затора после, м;Изменение
Гражданский пр. (ул. Гидротехников);6,91;13,19;6,29
Гражданский пр. (пр. Непокоренных);5,83;9,43;3,60
Ул. Фаворского (Старо-Муринская ул.);6,95;3,23;-3,72
Ул. Фаворского (Гжатская ул.);16,96;11,14;-5,83
;;;
;;;
проектный с нагрузкой;Время в пути ТС до, с;Время в пути ТС после, с;Изменение
Гражданский пр. (ул. Гидротехников);20,39;25,65;5,26
Гражданский пр. (пр. Непокоренных);20,00;39,51;19,51
Ул. Фаворского (Старо-Муринская ул.);77,24;45,46;-31,78
Ул. Фаворского (Гжатская ул.);46,41;36,72;-9,69
;;;
;;;
проектный с нагрузкой;Длина Затора до, м;Длина Затора после, м;Изменение
Гражданский пр. (ул. Гидротехников);6,91;12,97;6,07
Гражданский пр. (пр. Непокоренных);5,83;29,90;24,07
Ул. Фаворского (Старо-Муринская ул.);6,95;3,23;-3,72
Ул. Фаворского (Гжатская ул.);16,96;11,14;-5,83
;;;
;;;
проектный с полосой;Время в пути ТС до, с;Время в пути ТС после, с;Изменение
Гражданский пр. (ул. Гидротехников);20,39;26,10;5,71
Гражданский пр. (пр. Непокоренных);20,00;25,36;5,36
Ул. Фаворского (Старо-Муринская ул.);77,24;45,46;-31,78
Ул. Фаворского (Гжатская ул.);46,41;37,33;-9,08
;;;
;;;
проектный с полосой;Длина Затора до, м;Длина Затора после, м;Изменение
Гражданский пр. (ул. Гидротехников);6,91;13,18;6,28
Гражданский пр. (пр. Непокоренных);5,83;7,52;1,69
Ул. Фаворского (Старо-Муринская ул.);6,95;2,18;-4,77
Ул. Фаворского (Гжатская ул.);16,96;11,97;-4,99
